run,h,k,l,omega,x,y,module,Linv,P,edge,I,sigma,Iraw,varraw,counts,bgsum,nframes,wom,wpos,wom2
3,4,3,-2,42.078987,286.14438,654.36296,0,0.32126561,0.82741552,0,-2.5496792,1.5220277,-6.5666667,15.366111,7,0.12222222,5,0,0,0
3,4,3,2,6.3791846,284.6879,652.93974,0,0.32407598,0.82741552,0,-2.2172651,1.356146,-5.6610169,11.988546,5,0.096045198,5,5.4067797,0.74576271,39.199153
3,5,3,-3,38.101428,286.71686,758.34748,0,0.29022075,0.76878464,0,0.099561999,1.2322783,0.26373626,10.655409,6,0.049450549,5,154.68132,4.0879121,5854.9533
3,5,3,-2,28.815173,300.67808,759.0362,0,0.2692219,0.77494233,0,43.382693,4.2006774,124.875,146.20312,138,0.11931818,5,3639.4062,126.375,104820.84
3,5,3,2,-6.6753362,298.24932,756.9962,0,0.27339911,0.77494233,1,0,0,0,0,0,0,0,0,0,0
4,-6,2,-1,-9.7712277,19.70916,56.216369,0,0.48811421,0.74449651,1,0,0,0,0,0,0,0,0,0,0
4,-5,1,5,25.067105,146.06699,37.741535,0,0.29921461,0.79121675,1,5.5833221,1.8866379,14.764045,24.888714,21,0.056179775,2,364.4691,14.764045,8997.7907
4,-3,-1,-3,23.333121,119.91902,364.90705,0,0.4128655,0.91423747,0,113.54582,7.7975186,251.43258,298.13549,280,0.25280899,5,5837.8553,251.43258,135553.99
4,-2,-1,-3,24.077351,171.67478,398.16889,0,0.31693084,0.94916505,1,-0.13244272,1.8631907,-0.39664804,31.13645,19,0.17318436,4,35.558659,1.4972067,844.51816
4,-2,-1,-2,32.543374,184.16233,382.53322,0,0.29285055,0.95711495,1,0,0,0,0,0,0,0,0,0,0
4,-2,0,-5,-3.3012916,142.91724,393.4104,0,0.3713251,0.9307479,1,0.27483461,1.9505802,0.68888889,23.904691,15,0.12777778,4,-13.244444,4.2666667,42.088889
4,-2,0,-4,1.9158037,163.81511,377.6468,0,0.33215031,0.94481277,0,0.41546991,1.5562665,1.1818182,19.597025,12,0.096590909,5,5.0909091,2.5454545,11.204545
4,-2,0,-3,7.955505,183.25652,362.0745,0,0.29436234,0.95590833,0,11.537483,2.9743802,37.466667,93.295556,72,0.31111111,5,317.60417,39.416667,2564.7885
4,-1,-3,-6,18.794388,139.98102,563.46408,0,0.35368227,0.87719895,0,-0.25337394,1.991397,-0.6284153,24.394129,15,0.1420765,5,100.12705,5.3934426,1864.0256
4,-1,0,-3,-1.683769,226.04287,394.81675,0,0.20924029,0.97770326,0,1089.4445,15.377324,5090.5754,5162.7964,5135,0.39664804,5,-8857.4483,5090.5754,15542.566
4,-1,0,-2,6.7853179,246.37314,379.34014,0,0.16788652,0.98590073,0,-1.9512496,0.57219533,-11.458564,11.290764,2,0.1160221,5,0,0,0
4,0,-5,-7,16.038812,134.74301,746.74473,0,0.31101184,0.77450911,0,0.19741495,1.4867508,0.49162011,13.708047,8,0.067039106,5,72.269553,4.3743017,1194.265
4,0,-4,-9,-7.2370516,140.5465,736.41612,0,0.30522137,0.78222959,1,0,0,0,0,0,0,0,0,0,0
4,0,-4,-8,1.0821793,153.43856,706.34682,0,0.2935525,0.80396457,0,6.0855191,2.3605749,16.666667,41.796296,32,0.13333333,5,23.0625,16.861111,33.289931
4,-2,2,9,24.793586,422.26234,32.870465,1,0.15023468,0.82504789,1,74.071008,3.8574008,406.77778,448.75309,429,0.1984127,4,9969.25,406.77778,244385.92
4,1,0,16,17.092604,773.43722,123.17228,1,0.69475594,0.65956374,0,-2.7153197,5.3746943,-2.5777778,26.034938,15,0.15555556,5,68.954167,4.1166667,1154.9823
4,5,-5,6,17.264263,744.19737,686.83061,1,0.63453201,0.66513203,0,28.022909,6.7437606,29.374302,49.970413,42,0.11173184,5,541.98184,31.268156,9399.2895
4,5,-5,7,16.557057,772.55545,667.53188,1,0.6776569,0.65288994,0,26.848302,7.6476761,25.867052,54.289919,43,0.15028902,5,510.06358,30.751445,8461.9393
4,6,-4,7,28.637378,790.06954,666.39138,1,0.69716995,0.6426068,1,0,0,0,0,0,0,0,0,0,0
5,0,0,-7,-33.443494,271.65674,381.25851,0,0.39620719,0.92150982,0,-0.18290877,2.3434192,-0.42541436,29.706755,18,0.16022099,5,-53.325967,1.6464088,1727.2714
5,0,0,-6,-31.757689,300.26149,381.20469,0,0.34152282,0.941681,1,-0.89554035,1.3065217,-2.4692737,12.97781,7,0.083798883,2,-60.377095,1.8435754,1977.3499
5,0,0,-5,-30.080575,329.12625,381.15089,0,0.28594687,0.95911714,1,0,0,0,0,0,0,0,0,0,0
5,0,0,-4,-28.410601,358.48272,381.09658,0,0.2296338,0.97363412,1,0,0,0,0,0,0,0,0,0,0
5,0,1,-6,-51.285831,290.4097,381.487,0,0.3604313,0.93504417,0,1.3336369,2.0254567,3.4597701,27.609922,18,0.12643678,5,-433.35057,8.3908046,22387.496
5,0,1,-5,-53.155793,317.31088,381.43649,0,0.30870539,0.95235009,0,0.32773295,1.1582441,1.0110497,12.767475,8,0.060773481,5,-216.63674,4.0939227,11463.922
5,0,1,-4,-56.492876,343.74868,381.38702,0,0.25783378,0.96676053,0,0,0.51117251,0,3.6736111,0,0,5,0,0,0
5,0,1,-3,-62.286538,369.24221,381.33853,0,0.20916429,0.97812486,0,0,0.40857622,0,3.6505618,0,0,5,0,0,0
5,0,2,-5,-72.053287,286.54674,381.73231,0,0.36782753,0.93235038,0,1.9024458,2.0926777,4.8222222,28.13679,19,0.12222222,5,-559.08889,7.6888889,40656.247
5,0,2,-4,-77.172685,307.66334,381.68674,0,0.32728532,0.94644118,0,-1.1058201,1.2705593,-3.1978022,13.499698,7,0.087912088,5,-97.304945,1.2637363,7493.3867
5,0,2,-3,-84.182917,326.32088,381.64343,0,0.2913493,0.9575569,0,-0.085731612,0.6608276,-0.28176796,4.7171271,1,0.011049724,5,-83.25,1,6930.5625
5,0,2,-2,-93.48559,341.3863,381.60256,0,0.26236923,0.96558039,1,0,0,0,0,0,0,0,0,0,0
5,0,3,-3,-97.330955,275.37437,381.95006,0,0.38914362,0.92428181,1,0,0,0,0,0,0,0,0,0,0
5,3,0,-6,-43.1358,297.94158,573.1691,0,0.32191739,0.8803657,0,6.7203537,2.7626428,18.378531,57.080373,42,0.20903955,5,-841.52966,19.677966,35989.772
5,5,-2,-5,-25.25056,298.48637,756.7013,0,0.27312493,0.77521441,1,0,0,0,0,0,0,0,0,0,0
5,5,0,-7,-63.277221,280.14642,756.57573,0,0.30052244,0.76657926,0,-1.2571257,1.2700577,-3.2067039,10.4956,5,0.072625698,5,-87.255587,1.3687151,5562.5436
5,5,1,-7,-79.03582,269.65736,756.58899,0,0.31609801,0.76142878,0,92.208796,6.5388123,222.11602,248.09203,238,0.13812155,5,-17569.742,222.11602,1389824.4
5,5,2,-6,-97.328509,270.89405,757.13631,0,0.31409227,0.76175281,1,0,0,0,0,0,0,0,0,0,0
5,0,0,-1,-23.428798,447.78448,381.00629,1,0.05777173,0.99833121,1,0,0,0,0,0,0,0,0,0,0
6,-1,0,5,-75.484112,317.32644,366.01522,0,0.30850846,0.95194002,0,-2.5212631,1.4284728,-7.779661,19.428038,9,0.15254237,5,0,0,0
6,-1,0,6,-78.293142,289.96245,373.7715,0,0.36123678,0.93464203,0,0.64416246,1.7965089,1.6666667,21.605556,14,0.11111111,5,-364.32083,4.6833333,28342.018
6,-1,1,2,-30.627468,372.8164,363.50268,0,0.20224667,0.97893837,1,0,0,0,0,0,0,0,0,0,0
6,-1,1,3,-41.780754,352.55708,371.48095,0,0.24089769,0.9708001,0,15.357641,2.4006209,61.890173,93.592602,81,0.16763006,5,-2844.7254,68.092486,118846.05
6,-1,1,4,-50.191847,329.87516,379.29767,0,0.28450087,0.95952367,0,-0.73958973,0.56507269,-2.494382,3.6320585,0,0.02247191,5,0,0,0
6,-1,1,5,-56.769548,305.85345,386.9803,0,0.33075148,0.94522626,0,0.49818804,1.4475632,1.4237288,17.113665,11,0.084745763,5,-142,2.5310734,7967.3277
6,-1,1,6,-62.128747,281.00692,394.581,0,0.37828273,0.9280585,0,-0.038283489,2.4805457,-0.093922652,37.034981,23,0.20994475,5,-107.80249,1.7071823,6807.4133
6,-1,2,3,-27.120244,314.48016,392.60247,0,0.31408523,0.95039204,1,0,0,0,0,0,0,0,0,0,0
6,2,2,8,-80.849954,280.13116,611.63219,0,0.34334062,0.84834392,0,-1.5379309,1.8156794,-3.8,20.126667,11,0.13333333,5,-98.2125,1.2166667,7927.9844
6,2,3,7,-63.281006,283.19462,630.07382,0,0.33302447,0.8397273,0,-1.1148486,1.7589093,-2.8111111,19.670309,11,0.12222222,5,-143.375,2.2333333,9204.4646
6,2,4,4,-30.273802,288.3458,627.41204,0,0.32505027,0.84427528,1,0,0,0,0,0,0,0,0,0,0
6,2,4,5,-39.04722,277.49855,637.84149,0,0.34037255,0.83191515,0,40.08256,4.5268389,97.967033,122.41625,113,0.13186813,5,-3830.0192,97.967033,149756
6,3,2,9,-98.851125,279.9439,704.07001,0,0.31667403,0.79544091,1,0,0,0,0,0,0,0,0,0,0
6,3,3,8,-83.535554,297.04412,728.93375,0,0.28291012,0.79004837,0,28.832386,3.5352369,80.516667,97.464722,91,0.094444444,5,-6738.6958,80.516667,563995.47
6,3,4,7,-66.271065,287.48214,753.7465,0,0.29041083,0.77164098,0,-0.27599356,1.3207831,-0.73333333,12.315951,7,0.066666667,5,-117.31111,1.7777778,7741.3889
6,3,5,3,-25.590208,270.34211,733.93484,0,0.32225047,0.77386715,1,0,0,0,0,0,0,0,0,0,0
6,0,0,1,-76.599778,448.89705,388.70937,1,0.05558743,0.99833121,0,-0.72665983,0.35482925,-13.050562,40.610182,20,0.29775281,5,-57.876404,0.76404494,4384.1376
