h,k,l,d_A,I_observed,sigma_I,I_calculated,Fcal_electron_units,multiplicity,observed_gt_2sigma,used_in_refinement
0,0,2,8.305,499.6942903059793,41.636395103390434,173.3914875667962,-266.664206281158,4,True,True
0,0,3,5.536666666666666,51.85391831795789,4.512013057573365,256.8037797441691,-324.5275303266438,4,True,True
0,0,4,4.1525,9.21301192642753,1.648058429960109,9.924372641741167,-63.79731047728156,4,True,True
0,0,5,3.322,56.73918700659749,5.037840212858403,147.61469794227528,-246.04562100486888,4,True,True
0,0,6,2.768333333333333,8.954988087908994,1.617214378087376,28.716857313140366,-108.52237611337377,4,True,True
0,0,7,2.3728571428571428,201.00004714562485,17.055182546430625,173.78746681439912,266.96852708503974,4,True,True
0,0,8,2.07625,138.00279097883032,13.77134034184312,48.94423049932456,141.6777305235032,3,True,True
0,0,9,1.8455555555555554,220.0343898573632,18.76225299513653,175.89711930233858,268.5840402242689,4,True,True
0,0,10,1.661,81.77752162809884,10.574358624809886,73.04085706217344,173.0747724437179,2,True,True
0,0,11,1.5099999999999998,68.34330403408786,7.186177136968943,54.572692051581754,149.60238869515214,4,True,True
0,0,12,1.3841666666666665,15.157412541187274,2.7678725028063806,18.111675087598485,86.18469485268413,4,True,True
0,0,13,1.2776923076923077,7.7425959796859365,2.4021134550179783,7.460730339488277,55.314820900766364,4,True,True
0,0,14,1.1864285714285714,0.03205547445293203,2.221030581711986,0.005778286365623888,1.5393960561888895,4,False,True
0,0,15,1.1073333333333333,1.4235255950687644,2.3788748770961794,0.44454374117963513,13.50231044449998,4,False,True
0,0,16,1.038125,-6.6832029890067055,3.6507230670701065,0.06511688929313048,-5.167704380670416,2,False,True
0,0,17,0.9770588235294116,11.862623349478463,4.435343440045586,6.916821386535176,53.26036268363357,2,True,True
0,0,18,0.9227777777777777,-0.2815921045501912,2.7905981592327302,2.640822278305094,32.90943502239711,4,False,True
0,0,19,0.8742105263157895,4.9179266297962,2.7033835283333794,0.2949466407956945,10.998224138000781,4,False,True
0,0,20,0.8305,-1.331658237971905,2.6605583051265542,0.42065852457576813,13.134564759103041,4,False,True
0,0,21,0.790952380952381,-7.524803725189251,4.153730764701517,0.7917523963885335,18.01961601557059,2,False,True
0,0,22,0.7549999999999999,1.4334893688508041,4.110105251202781,0.28077728599641943,10.730793188117492,3,False,True
0,0,23,0.7221739130434782,-0.7012619268360799,6.218221368332869,0.059536866287801374,-4.941329616793673,2,False,True
1,0,1,14.919155672359999,69.18881818260371,3.516710888650255,141.18224199298695,-240.62507162635396,11,True,True
1,0,2,8.06699322935215,32.02400317999508,1.1765273890677592,13.350750098985014,73.99522113224722,23,True,True
1,0,3,5.464433095254643,5.797139287483514,0.41455225442903454,28.89609124723405,108.86051611684361,24,True,True
1,0,4,4.121764208956092,1.404166438638857,0.4949931101214466,0.7513896594293592,17.554297166951688,24,True,True
1,0,5,3.3062002522129488,1.348432028690924,0.5505119375454807,9.21784086643145,61.484471192589,23,True,True
1,0,6,2.7591700127173393,1.0231348709510129,0.5103797736270052,1.6879366581200013,26.31048849897566,24,True,True
1,0,7,2.367079051251635,15.475803233614137,0.8495222255422763,16.327334362077877,-81.8292333438983,24,True,True
1,0,8,2.0723758157958567,7.793171085168505,0.8517704060412481,4.326258415530174,-42.12181414433249,18,True,True
