run,h,k,l,omega,x,y,module,Linv,P,edge,I,sigma,Iraw,varraw,counts,bgsum,nframes,wom,wpos,wom2
1,0,0,-1,44.104314,306.17866,363.56696,0,0.045305964,0.99833121,1,0,0,0,0,0,0,0,0,0,0
1,1,-1,-4,45.078142,188.52864,375.15551,0,0.28425749,0.95952367,1,0,0,0,0,0,0,0,0,0,0
1,1,-1,-3,47.656978,210.54598,392.4772,0,0.24050684,0.9708001,1,0,0,0,0,0,0,0,0,0,0
1,1,0,-3,22.060511,225.87132,368.5039,0,0.20955836,0.97770326,0,934.68587,14.225681,4360.816,4405.0443,4393,0.52760736,7,96222.041,4360.816,2123559.8
1,1,0,-2,18.580737,246.49615,385.77476,0,0.16763842,0.98590073,0,-1.5707057,0.42862956,-9.2375,6.3545312,2,0.18125,7,0,0,0
1,2,0,-5,15.146217,142.67473,373.13588,0,0.37180614,0.9307479,0,-0.29833858,1.5857618,-0.74683544,15.758212,11,0.1835443,7,23.544304,1.5696203,354.04747
1,2,0,-4,13.703946,164.06055,390.68399,0,0.33164867,0.94481277,0,-0.79204631,1.2264518,-2.2564103,12.207758,8,0.16025641,7,26.858974,1.8974359,381.34936
1,2,1,-4,-4.5916888,154.08195,366.39991,0,0.35041707,0.93815237,0,-2.2221974,1.5150194,-5.9493671,16.451771,10,0.25316456,7,-7.4778481,1.4050633,40.141614
1,2,1,-3,-8.7840216,170.78762,383.93775,0,0.31880452,0.94916505,1,0,0,0,0,0,0,0,0,0,0
1,2,1,-2,-14.440574,185.56292,401.32516,0,0.28989003,0.95711495,1,0,0,0,0,0,0,0,0,0,0
1,4,-4,1,30.867974,136.13383,714.88356,0,0.31841684,0.79231416,0,1.959175,1.6225677,4.875,16.300781,13,0.125,7,163.25,5.3125,5019.3477
1,4,-3,0,23.412531,141.30217,646.74234,0,0.3298835,0.83284399,0,-2.0049141,1.2755212,-5.0617284,10.370066,6,0.17283951,7,5.2438272,0.2345679,117.24923
1,5,-3,1,2.9478308,140.56474,742.98809,0,0.30326936,0.77867041,0,-0.32249171,1.066709,-0.82802548,7.5013984,5,0.095541401,7,6.0621019,2.6687898,15.189092
1,5,-2,1,-8.4449601,146.54098,698.38011,0,0.30680001,0.80575676,1,-0.29984856,0.21202495,-0.7875,0.31007813,0,0.0125,1,0,0,0
2,0,0,-1,6.7234806,311.50175,358.4003,0,0.034463146,0.99833121,0,-0.089072067,0.29191175,-2.5802469,71.50602,51,0.86419753,7,36.811728,5.8888889,233.80633
2,1,-2,-3,41.078362,173.81211,362.74108,0,0.31271913,0.95039204,1,0,0,0,0,0,0,0,0,0,0
2,1,-2,-2,46.369309,186.39246,385.29842,0,0.28847833,0.95835273,1,0,0,0,0,0,0,0,0,0,0
2,1,-1,-2,29.667086,228.08887,378.0558,0,0.20514433,0.97893837,0,-0.59910437,0.43860041,-2.8588957,4.3805608,2,0.073619632,7,18.596626,0.59509202,581.14456
2,1,0,-2,-4.2180515,246.98397,370.85878,0,0.16658707,0.98590073,0,6.0724038,1.7413805,35.937888,106.21141,86,0.77018634,7,-186.6646,44.198758,789.88665
2,1,0,-1,-5.5841155,263.44106,393.21021,0,0.13288611,0.99085268,1,118.4485,4.1566828,883.2,960.6225,939,0.9,6,-5013.7594,883.7875,28478.637
2,2,-1,-4,9.6813993,153.98168,367.7006,0,0.35063446,0.93815237,0,0.71635418,1.6306265,1.9166667,19.034722,14,0.18589744,7,41.1875,3.9166667,435.16146
2,2,-1,-3,11.812815,171.03217,390.35584,0,0.31829255,0.94916505,0,0.70698968,1.0214506,2.1082803,9.2782328,7,0.076433121,7,31.16242,2.7388535,356.70939
2,2,0,-3,-8.9961584,182.07458,383.08187,0,0.29692893,0.95590833,1,0,0,0,0,0,0,0,0,0,0
2,3,-4,7,41.355187,132.59085,750.65851,0,0.31308124,0.77164098,1,0,0,0,0,0,0,0,0,0,0
2,3,-3,4,34.39246,159.24205,624.00599,0,0.30562542,0.85432172,0,15.304583,2.8344325,42.78125,62.776367,57,0.21875,7,1491.8594,43.4375,51243.387
2,4,-3,5,13.693196,154.47841,714.60565,0,0.28962942,0.79964827,0,39.227403,4.0890081,108.30435,127.45257,122,0.2173913,7,1479.5543,110.65217,19796.872
2,-7,-4,-3,-5.4979811,782.83047,8.5166599,1,0.64014997,0.62655964,1,6.3344805,3.7198512,6.2,13.256,11,0.077419355,7,-38.75,7,216.1375
3,0,1,3,-6.1649643,369.24266,380.34159,0,0.20916205,0.97812486,1,0,0,0,0,0,0,0,0,0,0
3,0,2,-3,82.982661,326.32188,381.81689,0,0.29134746,0.9575569,1,0,0,0,0,0,0,0,0,0,0
3,0,2,-2,73.680203,341.38619,381.58239,0,0.26236942,0.96558039,1,0.27172199,0.38476767,1,2.0051534,1,0,4,72.75,1,5292.5625
3,0,2,-1,61.997917,351.38678,381.34879,0,0.24319436,0.97042796,0,-0.09779718,0.33135786,-0.3902439,1.7482927,0,0.006097561,7,0,0,0
3,0,2,0,48.555428,354.92138,381.118,0,0.23643418,0.97204939,0,-0.19697371,0.33802662,-0.80981595,1.9313365,0,0.012269939,7,0,0,0
3,0,2,1,34.713947,351.3859,380.89238,0,0.24319551,0.97042796,0,0,0.33231756,0,1.7584177,0,0,7,0,0,0
3,0,2,2,21.896101,341.38452,380.67349,0,0.26237155,0.96558039,0,0.061679725,0.44685856,0.22699387,2.7044785,1,0.012269939,7,20.25,1,410.0625
3,0,2,3,10.865665,326.31953,380.46136,0,0.29135034,0.9575569,0,-0.2396081,0.40094105,-0.7875,1.7364375,0,0.0125,7,0,0,0
3,0,2,4,1.6902373,307.66259,380.25478,0,0.32728467,0.94644118,0,0.42098074,1.3315976,1.2173913,14.827977,11,0.1552795,7,7.173913,4.0869565,15.059783
3,0,2,5,-5.906742,286.54662,380.05188,0,0.36782498,0.93235038,1,0,0,0,0,0,0,0,0,0,0
3,0,3,-1,54.161079,292.79133,381.46169,0,0.35586585,0.93667933,0,1.614672,1.4920649,4.25,15.423562,12,0.125,7,354.71875,6.45,19512.666
3,0,3,0,45.105516,295.09328,381.23619,0,0.35144936,0.93824157,0,-1.2226955,1.4071688,-3.2641509,14.112248,9,0.18867925,7,95.20283,2.0943396,4327.9642
3,0,3,1,35.779382,292.79046,381.01414,0,0.35586703,0.93667933,0,1.211008,1.806591,3.1875,22.611328,17,0.2125,7,232.15625,6.5,8293.0312
3,4,2,-5,74.714626,287.68907,655.34801,0,0.31843753,0.82771243,1,-0.79318816,0.57869166,-2.0617284,2.262585,1,0.049382716,2,45.216049,0.61728395,3312.0756
3,4,3,-2,42.078987,286.14438,654.36296,0,0.32126561,0.82741552,0,-0.12454137,1.3193689,-0.32075472,11.546525,8,0.13207547,7,111.90094,2.6226415,4778.9375
3,5,3,-3,38.101428,286.71686,758.34748,0,0.29022075,0.76878464,0,-0.24086267,0.96007064,-0.63803681,6.4678339,4,0.073619632,7,93.285276,2.4539877,3547.1963
3,5,3,-2,28.815173,300.67808,759.0362,0,0.2692219,0.77494233,0,42.368403,4.1152572,121.95541,140.31754,135,0.20382166,7,3524.7755,122.40127,101515.58
3,5,3,2,-6.6753362,298.24932,756.9962,0,0.27339911,0.77494233,1,0,0,0,0,0,0,0,0,0,0
4,-6,2,-1,-9.7712277,19.70916,56.216369,0,0.48811421,0.74449651,1,0,0,0,0,0,0,0,0,0,0
4,-5,1,5,25.067105,146.06699,37.741535,0,0.29921461,0.79121675,1,5.3853354,1.7886057,14.240506,22.369412,20,0.088607595,3,350.74367,14.240506,8639.5261
