run,h,k,l,omega,x,y,module,lp,d,counts,sigma_counts,I,sigma,background,nframes,dx,dy,domega,background_transmission,shadowed,transmission,I_before_absorption
1.0,-3.0,0.0,-10.0,36.843808779377554,189.3242645865492,14.60156572091745,0.0,0.2835080382447214,1.037732273620628,138.5681818181818,12.451735333274527,39.4812580225381,3.547785422821077,10.431818181818182,5,0.0,0.0,0.0,1.3201259,False,0.9950339821488067,39.285193390410605
1.0,-2.0,0.0,-12.0,25.11484078875924,113.8328427361264,13.841610069621254,0.0,0.4444875351819042,0.9664820163695422,55.74712643678161,7.764682348972594,24.905257963022642,3.4689037671096736,2.2528735632183907,4,0.0,0.0,0.0,1.0534923,False,0.9949265677211131,24.778902823359036
1.0,-2.0,0.0,-11.0,29.23847089156706,137.65548211893102,50.21897122171305,0.0,0.3972198591199157,1.0433763758793448,236.6966292134832,15.751286210839927,94.49492070315884,6.288287866252773,7.3033707865168545,3,0.0,0.0,0.0,1.4399968,False,0.9949804816037666,94.02060171033872
1.0,-2.0,0.0,-10.0,33.699644039662104,160.22948389932364,82.41021497059307,0.0,0.3508934156289695,1.1324102167593937,141.55172413793105,12.440185864210704,49.91830710187813,4.387039593873149,8.448275862068966,4,0.0,0.0,0.0,1.2043767,False,0.9950170759909344,49.66956797092827
1.0,-2.0,1.0,-11.0,5.088794025126305,185.46832386736745,10.63629975183528,0.0,0.2913402076940989,1.0278030410882912,328.3023255813954,18.679959790711145,96.17929765422494,5.4724723917142235,12.697674418604649,5,-0.1571340788646864,-0.1222775772335857,0.1235184690505333,1.6468471,False,0.994472511799818,95.64766772133942
1.0,-2.0,1.0,-10.0,6.60818248271201,207.7891571499513,45.02272422712099,0.0,0.2464897747059309,1.112578857682359,235.80459770114945,15.82038918499974,58.445427536344575,3.921167859841796,9.195402298850574,4,0.2956870676160008,-0.2327224668675214,-0.1157515726609625,1.411386,False,0.9944904950149378,58.12342216197899
1.0,-2.0,1.0,-9.0,7.579254706120935,230.02529659684325,75.62760515543823,0.0,0.2009794778023396,1.210619666929896,335.55172413793105,18.689841581968967,67.81281950227849,3.777095340458635,8.448275862068964,5,-0.0281816946857418,0.2402448194739719,0.168675549774699,1.4684623,False,0.9944876321010391,67.4390102929161
1.0,-2.0,1.0,-8.0,7.623489316077212,252.48479380476087,103.19590281332256,0.0,0.1546773621442444,1.3245551819639991,63.05882352941177,9.143984730269668,9.808162650407926,1.4222544045005905,12.941176470588236,5,0.0,0.0,0.0,1.047261,False,0.9944546018558493,9.753772483448826
1.0,-2.0,1.0,-7.0,5.721782994563142,275.832129361994,128.27710904469143,0.0,0.1065924126571314,1.4573140420198205,1518.7159090909092,39.37963372970793,162.8024023979194,4.2213944941053665,20.284090909090907,6,0.0,0.0,0.0,1.5227326,False,0.9943562902413143,161.8835928907688
1.0,-2.0,1.0,-6.0,-2.524802636312529,302.80587580415005,151.14292890629764,0.0,0.0514763724690236,1.6117306146065138,4552.32183908046,67.97869071505473,235.7540529114189,3.5204566843462,43.67816091954023,10,0.0,0.0,0.0,2.4160097,False,0.9939893363166291,234.33701458737676
1.0,-1.0,-1.0,-13.0,32.252838738639184,10.37768752044508,74.41923967141378,0.0,0.6789720368913916,0.922712837456777,157.82022471910113,13.068251395888556,107.70192770054818,8.918222423759032,8.179775280898877,3,0.0,0.0,0.0,1.2302529,False,0.9949266622053214,107.15551944018526
1.0,-1.0,-1.0,-12.0,35.991267193856544,40.32424264280837,109.1508178490834,0.0,0.6187017174735916,0.9953623078796584,6.707865168539326,3.377901479730695,4.171296399957944,2.100553294943685,2.292134831460674,4,0.0,0.0,0.0,0.945987,False,0.994934740288033,4.150167700356564
1.0,-1.0,0.0,-13.0,20.023229265334123,49.45202109151924,41.87449909012611,0.0,0.5880300251759878,0.9339312610888754,24.093023255813957,5.516728088709768,14.24084736361086,3.2608146276911203,2.9069767441860463,4,0.0,0.0,0.0,0.8969042,False,0.994843966088946,14.167421071681938
1.0,-1.0,0.0,-12.0,23.072757524165866,78.12753768221685,78.21927988931077,0.0,0.5307345410253389,1.0094870220686154,136.20689655172413,12.25375770461747,72.66064474221423,6.536863829022541,8.793103448275861,4,0.0,0.0,0.0,1.3819996,False,0.994894897813457,72.28970472586512
