run,h,k,l,omega,x,y,module,lp,d,counts,sigma_counts,I,sigma,background,nframes,dx,dy,domega,background_transmission,shadowed
1.0,-3.0,0.0,-10.0,36.843808779377554,189.32426458654922,14.60156572091745,0.0,0.2835080382447214,1.037732273620628,138.5681818181818,12.451735333274529,39.285193390410605,3.530167057079144,10.431818181818182,5,0.0,0.0,0.0,1.3201259,False
1.0,-2.0,0.0,-12.0,25.11484078875924,113.83284273612641,13.841610069621254,0.0,0.44448753518190426,0.9664820163695422,55.74712643678161,7.7646823489725945,24.778902823359033,3.451304518765267,2.2528735632183907,4,0.0,0.0,0.0,1.0534923,False
1.0,-2.0,0.0,-11.0,29.23847089156706,137.65548211893102,50.21897122171305,0.0,0.3972198591199157,1.0433763758793448,236.69662921348316,15.751286210839927,94.02060171033871,6.256723689627306,7.3033707865168545,3,0.0,0.0,0.0,1.4399968,False
1.0,-2.0,0.0,-10.0,33.699644039662104,160.22948389932364,82.41021497059307,0.0,0.3508934156289695,1.1324102167593937,141.55172413793105,12.440185864210703,49.66956797092827,4.365179308952117,8.448275862068966,4,0.0,0.0,0.0,1.2043767,False
1.0,-2.0,1.0,-11.0,5.088794025126305,185.46832386736745,10.636299751835281,0.0,0.2913402076940989,1.0278030410882912,328.3023255813954,18.679959790711145,95.64766772133942,5.442223365143201,12.697674418604649,5,-0.15713407886468644,-0.12227757723358579,0.12351846905053332,1.6468471,False
1.0,-2.0,1.0,-10.0,6.60818248271201,207.7891571499513,45.02272422712099,0.0,0.24648977470593092,1.112578857682359,235.80459770114942,15.820389184999739,58.12342216197899,3.8995641659707316,9.195402298850574,4,0.29568706761600083,-0.2327224668675214,-0.11575157266096259,1.411386,False
1.0,-2.0,1.0,-9.0,7.579254706120935,230.02529659684325,75.62760515543823,0.0,0.2009794778023396,1.2106196669298959,335.55172413793105,18.689841581968967,67.4390102929161,3.7562746013525756,8.448275862068964,5,-0.02818169468574183,0.24024481947397192,0.168675549774699,1.4684623,False
1.0,-2.0,1.0,-8.0,7.623489316077212,252.48479380476087,103.19590281332256,0.0,0.15467736214424443,1.3245551819639991,63.05882352941177,9.143984730269668,9.753772483448826,1.4143674375653628,12.941176470588236,5,0.0,0.0,0.0,1.047261,False
1.0,-2.0,1.0,-7.0,5.721782994563142,275.83212936199396,128.27710904469143,0.0,0.10659241265713149,1.4573140420198205,1518.7159090909092,39.37963372970793,161.8835928907688,4.197570168803722,20.284090909090907,6,0.0,0.0,0.0,1.5227326,False
1.0,-2.0,1.0,-6.0,-2.524802636312529,302.80587580415005,151.14292890629764,0.0,0.051476372469023694,1.6117306146065138,4552.32183908046,67.97869071505473,234.33701458737673,3.4992964032047196,43.67816091954023,10,0.0,0.0,0.0,2.4160097,False
