run,h,k,l,omega,x,y,module,lp,d,counts,sigma_counts,I,sigma,background,nframes,dx,dy,domega,background_transmission,shadowed,ah,ak,al,I_scaled,sigma_scaled,robust_weight,merge_mean
1.0,-3,0,-10,36.88695580007854,189.68786243299388,15.6249384576102,0.0,0.2822907334772784,1.0382602699792651,136.88636363636363,12.24571290305845,38.64175199394654,3.456851277356543,8.113636363636363,4,0.0,0.0,0.0,1.2543213,False,3,0,10,38.64175199394654,3.456851277356543,1.0,43.033488789445684
1.0,-2,-1,-13,35.583780129176034,36.62954863968864,9.943161698538177,0.0,0.6103783895924281,0.8905708689450053,114.99398556535684,12.11495474565582,70.18984372219744,7.394706567638543,20.006014434643145,4,0.0,0.0,0.0,1.1665637,False,2,1,13,70.18984372219744,7.394706567638543,1.0,98.34321522467793
1.0,-2,0,-12,25.15806597247098,114.72991283844246,15.212420429410829,0.0,0.4427588451030834,0.9676028115870668,55.325842696629216,7.975266652090574,24.496006216714417,3.531119852268757,4.674157303370786,5,0.0,0.0,0.0,1.0355991,False,2,0,12,24.496006216714417,3.531119852268757,1.0,22.85188078397121
1.0,-2,0,-11,29.28422608122748,138.29701949414385,51.34015892917563,0.0,0.3957139367543587,1.0445033321115442,212.62790697674416,15.289685172950405,84.13982613360702,6.050341511522952,13.372093023255816,5,0.0,0.0,0.0,1.4397161,False,2,0,11,84.13982613360702,6.050341511522952,1.0,85.78432900735461
1.0,-2,0,-10,33.7495163506394,160.64542977625456,83.33213912547325,0.0,0.3496012982362041,1.133526404446636,131.22988505747125,12.118557117435014,45.87813818347979,4.236663301004873,9.770114942528735,5,0.0,0.0,0.0,1.2301708,False,2,0,10,45.87813818347979,4.236663301004873,1.0,48.23306407575306
1.0,-2,1,-11,5.085920662228915,185.99312026203856,12.030551747687582,0.0,0.2898453948626513,1.0290254948320745,328.3023255813954,18.679959790711145,95.15691719246628,5.414300321557121,12.697674418604649,5,-0.6819304735358003,-1.5165295730858863,0.1263918319479229,1.4790031,False,2,1,11,95.15691719246628,5.414300321557121,1.0,101.14652563289853
1.0,-2,1,-10,6.599738074284858,208.11344468308152,46.194204365048336,0.0,0.2451723442128602,1.1138167856352947,235.80459770114945,15.82038918499974,57.812765994561225,3.878721902846167,9.195402298850574,4,-0.0286004655142164,-1.404202604794868,-0.1073071642338101,1.3721211,False,2,1,10,57.812765994561225,3.878721902846167,1.0,55.3654449487533
1.0,-2,1,-9,7.5629786684728515,230.17133618737603,76.61914381092589,0.0,0.1998268026157708,1.2118575213329004,335.55172413793105,18.689841581968967,67.05222814669192,3.734731284720138,8.448275862068964,5,-0.1742212852185218,-0.7512938360136872,0.1849515874227822,1.4211686,False,2,1,9,67.05222814669192,3.734731284720138,1.0,68.61714949876136
1.0,-2,1,-8,7.593862953377595,252.47318631488133,104.0402730599601,0.0,0.153671148496169,1.3257688228157285,58.96551724137932,8.409613150511765,9.061298756153414,1.292314911247629,7.0344827586206895,4,0.0,0.0,0.0,1.0680256,False,2,1,8,9.061298756153414,1.292314911247629,1.0,9.025981128693735
1.0,-2,1,-7,5.661176942944849,275.688291700067,128.9992543070563,0.0,0.1056971116402373,1.4584673744513843,1401.1818181818182,37.75749063660817,148.10087106463436,3.990857703072789,15.818181818181818,5,0.0,0.0,0.0,1.556129,False,2,1,7,148.10087106463436,3.990857703072789,0.8855189394163576,183.9322443124994
1.0,-2,1,-6,-2.734959416069444,302.62224669371665,151.75668049317898,0.0,0.0505094182489125,1.612772447626881,3244.850574712644,57.2257399121687,163.89551483338516,2.8904388318272165,19.14942528735632,5,0.0,0.0,0.0,2.3143997,False,2,1,6,163.89551483338516,2.8904388318272165,0.1845338230332758,267.5304958784677
1.0,-1,-1,-13,32.31584419401818,11.946060644276288,75.66450083794774,0.0,0.6767126878304047,0.9241640359676632,134.58426966292137,12.719438594800405,91.07488286328751,8.607405479181168,17.415730337078653,5,0.0,0.0,0.0,1.1009861,False,1,1,13,91.07488286328751,8.607405479181168,1.0,111.8122146860185
