run,h,k,l,omega,x,y,module,lp,d,counts,sigma_counts,I,sigma,background,nframes,dx,dy,domega,background_transmission,shadowed,ah,ak,al,I_scaled,sigma_scaled,robust_weight,merge_mean,scale_factor
1.0,-3,0,-10,36.843808779377554,189.3242645865492,14.60156572091745,0.0,0.2835080382447214,1.037732273620628,138.5681818181818,12.451735333274527,39.285193390410605,3.530167057079144,10.431818181818182,5,0.0,0.0,0.0,1.3201259,False,3,0,10,39.285193390410605,3.530167057079144,1.0,43.98439695877627,1.0
1.0,-2,0,-12,25.11484078875924,113.8328427361264,13.841610069621254,0.0,0.4444875351819042,0.9664820163695422,55.74712643678161,7.764682348972594,24.778902823359036,3.451304518765267,2.2528735632183907,4,0.0,0.0,0.0,1.0534923,False,2,0,12,24.778902823359036,3.451304518765267,1.0,24.95032407263159,1.0
1.0,-2,0,-11,29.23847089156706,137.65548211893102,50.21897122171305,0.0,0.3972198591199157,1.0433763758793448,236.6966292134832,15.751286210839927,94.02060171033872,6.256723689627306,7.3033707865168545,3,0.0,0.0,0.0,1.4399968,False,2,0,11,94.02060171033872,6.256723689627306,1.0,85.97944783753069,1.0
1.0,-2,0,-10,33.699644039662104,160.22948389932364,82.41021497059307,0.0,0.3508934156289695,1.1324102167593937,141.55172413793105,12.440185864210704,49.66956797092827,4.365179308952117,8.448275862068966,4,0.0,0.0,0.0,1.2043767,False,2,0,10,49.66956797092827,4.365179308952117,1.0,48.6376737777674,1.0
1.0,-2,1,-11,5.088794025126305,185.46832386736745,10.63629975183528,0.0,0.2913402076940989,1.0278030410882912,328.3023255813954,18.679959790711145,95.64766772133942,5.442223365143201,12.697674418604649,5,-0.1571340788646864,-0.1222775772335857,0.1235184690505333,1.6468471,False,2,1,11,95.64766772133942,5.442223365143201,1.0,102.5214766401531,1.0
1.0,-2,1,-10,6.60818248271201,207.7891571499513,45.02272422712099,0.0,0.2464897747059309,1.112578857682359,235.80459770114945,15.82038918499974,58.12342216197899,3.899564165970732,9.195402298850574,4,0.2956870676160008,-0.2327224668675214,-0.1157515726609625,1.411386,False,2,1,10,58.12342216197899,3.899564165970732,1.0,56.807702682331666,1.0
1.0,-2,1,-9,7.579254706120935,230.02529659684325,75.62760515543823,0.0,0.2009794778023396,1.210619666929896,335.55172413793105,18.689841581968967,67.4390102929161,3.756274601352576,8.448275862068964,5,-0.0281816946857418,0.2402448194739719,0.168675549774699,1.4684623,False,2,1,9,67.4390102929161,3.756274601352576,1.0,70.22783165694317,1.0
1.0,-2,1,-8,7.623489316077212,252.48479380476087,103.19590281332256,0.0,0.1546773621442444,1.3245551819639991,63.05882352941177,9.143984730269668,9.753772483448826,1.4143674375653628,12.941176470588236,5,0.0,0.0,0.0,1.047261,False,2,1,8,9.753772483448826,1.4143674375653628,1.0,9.260283916449048,1.0
1.0,-2,1,-7,5.721782994563142,275.832129361994,128.27710904469143,0.0,0.1065924126571314,1.4573140420198205,1518.7159090909092,39.37963372970793,161.8835928907688,4.197570168803722,20.284090909090907,6,0.0,0.0,0.0,1.5227326,False,2,1,7,161.8835928907688,4.197570168803722,1.0,185.63671952089845,1.0
1.0,-2,1,-6,-2.524802636312529,302.80587580415005,151.14292890629764,0.0,0.0514763724690236,1.6117306146065138,4552.32183908046,67.97869071505473,234.33701458737676,3.49929640320472,43.67816091954023,10,0.0,0.0,0.0,2.4160097,False,2,1,6,234.33701458737676,3.49929640320472,1.0,265.34544806738,1.0
1.0,-1,-1,-13,32.252838738639184,10.37768752044508,74.41923967141378,0.0,0.6789720368913916,0.922712837456777,157.82022471910113,13.068251395888556,107.15551944018526,8.872977268875225,8.179775280898877,3,0.0,0.0,0.0,1.2302529,False,1,1,13,107.15551944018526,8.872977268875225,1.0,118.59887493640112,1.0
1.0,-1,-1,-12,35.991267193856544,40.32424264280837,109.1508178490834,0.0,0.6187017174735916,0.9953623078796584,6.707865168539326,3.377901479730695,4.150167700356564,2.0899134469659675,2.292134831460674,4,0.0,0.0,0.0,0.945987,False,1,1,12,4.150167700356564,2.0899134469659675,1.0,2.984257062930554,1.0
1.0,-1,0,-13,20.023229265334123,49.45202109151924,41.87449909012611,0.0,0.5880300251759878,0.9339312610888754,24.093023255813957,5.516728088709768,14.167421071681938,3.244001756893084,2.9069767441860463,4,0.0,0.0,0.0,0.8969042,False,1,0,13,14.167421071681938,3.244001756893084,1.0,14.993476413913255,1.0
1.0,-1,0,-12,23.072757524165866,78.12753768221685,78.21927988931077,0.0,0.5307345410253389,1.0094870220686154,136.20689655172413,12.25375770461747,72.28970472586512,6.503492471195863,8.793103448275861,4,0.0,0.0,0.0,1.3819996,False,1,0,12,72.28970472586512,6.503492471195863,1.0,71.10621352711938,1.0
1.0,-1,0,-11,26.18112884496404,105.00049161853012,110.24992593853436,0.0,0.4747574904476377,1.0980983332449932,163.9090909090909,13.22375773352799,77.81706866155372,6.27807803585729,7.09090909090909,3,0.0,0.0,0.0,1.4743056,False,1,0,11,77.81706866155372,6.27807803585729,1.0,77.50965769302218,1.0
1.0,-1,0,-10,29.397348368124284,130.4304399142217,138.8819519559014,0.0,0.4204075550301672,1.203382853558934,309.632183908046,18.22792817546988,130.17170939543269,7.663158717514787,14.367816091954024,4,-0.0149427950017297,0.0113853169601725,0.054897162973365,1.4452201,False,1,0,10,130.17170939543269,7.663158717514787,1.0,142.18508697442905,1.0
1.0,-1,0,-9,32.790028356209035,154.6950572891517,164.8119751599578,0.0,0.3678311860117658,1.330385200757993,77.03333333333333,9.138088786319964,28.33526236243969,3.361274036152889,3.966666666666667,3,0.0,0.0,0.0,1.1242483,False,1,0,9,28.33526236243969,3.361274036152889,1.0,29.3413254407336,1.0
1.0,-1,0,-8,36.462626674457255,178.00709315591072,188.58314425586363,0.0,0.3170759449727555,1.4863227552110732,198.953488372093,14.823524709143774,63.08336533120752,4.700183104978754,13.046511627906977,4,-0.1406508381065521,-0.0491238541389691,0.1058084922269344,1.1482912,False,1,0,8,63.08336533120752,4.700183104978754,1.0,61.757871461380915,1.0
1.0,-1,1,-12,6.25658144563468,106.50040670181652,41.89826733039399,0.0,0.4639543251277865,0.9953623078796582,2.976744186046512,2.890412341621361,1.3810733399152717,1.3410193072979637,3.0232558139534884,3,0.0,0.0,0.0,0.86012733,False,1,1,12,1.3810733399152717,1.3410193072979637,1.0,2.984257062930554,1.0
1.0,-1,1,-11,7.876695165796605,132.1128508323376,76.07954237236817,0.0,0.4117534634519098,1.0799873353924752,23.51724137931034,6.307423480561545,9.6833055887656,2.597103463579116,10.482758620689657,4,0.0,0.0,0.0,1.0294226,False,1,1,11,9.6833055887656,2.597103463579116,1.0,13.701685309424668,1.0
1.0,-1,1,-10,9.211783420148606,156.59202910609525,106.4631739947382,0.0,0.3604682722663647,1.179664235252623,399.60465116279073,20.241497624141967,144.04479819425455,7.296417676658182,6.395348837209303,3,0.1386304005333727,0.1839703807162891,0.0517814956650077,1.5815629,False,1,1,10,144.04479819425455,7.296417676658182,1.0,140.94555869777346,1.0
1.0,-1,1,-9,10.172738864151569,180.18067460971463,133.82899071845264,0.0,0.3103129364073093,1.2985441860161795,807.9310344827586,28.814012643392022,250.71145172493988,8.941360873048314,14.068965517241375,3,0.0273481007272096,0.0314141198588515,0.0876042610027134,1.6905168,False,1,1,9,250.71145172493988,8.941360873048314,1.0,267.63359476016524,1.0
1.0,-1,1,-8,10.602989093958,203.0769324679263,158.78017020032289,0.0,0.2613692796395238,1.4423102366494231,1046.25,32.65561520696639,273.4576088228518,8.535174622830285,12.75,4,0.1062842633818377,-0.0578995227939742,0.0281881844208271,1.5602262,False,1,1,8,273.4576088228518,8.535174622830285,1.0,271.392484020653,1.0
1.0,-1,1,-7,10.212007467143508,225.44139750337945,181.7944598652205,0.0,0.2136380408895124,1.618828601307914,1863.1724137931035,43.45432360755659,398.0445043221426,9.28349656369728,15.827586206896552,4,0.1478587867729288,-0.0799281784043728,-0.0002112329036023,1.5539745,False,1,1,7,398.0445043221426,9.28349656369728,1.0,405.19761447830894,1.0
1.0,-1,1,-6,8.409388899715935,247.39391781311377,203.25959846976752,0.0,0.1670924103904608,1.8390041451243933,150.36363636363637,13.09343409991915,25.124622435074755,2.1878134640441456,13.636363636363637,4,0.1055987214056983,-0.2584381526141328,-0.0096596403850508,1.0698234,False,1,1,6,25.124622435074755,2.1878134640441456,1.0,26.005567168400965,1.0
