h,k,l,Fo2,sigmaFo2,kFc2,Fc_real,Fc_imag,weight,weighted_residual
0,0,2,263.7655497,6.659129013,288.2189568,-13.6852046,-7.105427358e-15,0.00934937355,2.364452719
0,0,4,7088.898224,195.8615104,7698.282752,-70.72727944,1.776356839e-14,1.196330212e-05,2.107739617
0,0,6,127.2321458,3.986580236,127.2176402,9.092089279,-3.996802889e-15,0.0328277434,-0.002628187086
0,0,8,47.52448907,2.459333291,58.98194837,-6.190840017,3.552713679e-15,0.1237464548,4.030460841
0,0,10,5.948198295,1.362198262,3.118264248,-1.423463979,1.33226763e-15,0.5298217982,-2.059876701
0,0,12,227.057621,8.881781027,213.1107403,11.76772993,-7.993605777e-15,0.007981758097,-1.246023881
0,0,14,81.12564443,6.598247706,61.47933415,6.320546074,-4.440892099e-15,0.02021831496,-2.793530886
0,0,16,27.21158781,5.088515943,19.32839516,-3.543952741,3.219646771e-15,0.0376514275,-1.529652789
0,1,1,394.928553,12.27379469,416.4062426,-1.776356839e-15,16.44934615,0.003436216616,1.259006082
0,1,2,7266.867154,206.9637657,8149.280973,-1.598721155e-14,-72.76954673,1.106676747e-05,2.935504112
0,1,3,109.5252267,5.27249352,138.8508975,-3.552713679e-15,-9.498704332,0.02590983307,4.72041588
0,1,4,2252.908213,44.87064829,2265.489849,7.993605777e-15,38.36816987,0.0001519431027,0.1550878024
0,1,5,415.6685449,6.881455964,407.3052791,4.218847494e-15,-16.26859484,0.004929587218,-0.5871934176
0,1,6,69.65619831,2.718805379,70.57742429,0,6.772093198,0.08504348659,0.2686499151
0,1,7,22.21121747,3.153772108,25.92263927,-4.440892099e-15,4.104210547,0.09624377048,1.151401072
0,1,8,473.5471806,8.322624558,453.6365278,-3.108624469e-15,-17.16896173,0.003688834714,-1.209288986
0,1,9,3.705478112,0.7336873598,3.586323088,-3.552713679e-15,-1.526562993,1.816020249,-0.160573066
0,1,10,45.93341458,1.836253554,47.3097723,-3.552713679e-15,5.544539129,0.1897274777,0.5995100107
0,1,11,98.94780829,3.184448088,98.30692474,-8.881784197e-16,-7.992489588,0.05276401241,-0.1472136336
0,1,12,36.82346089,2.894609779,34.79038538,0,4.754661939,0.104176039,-0.6562018191
0,1,13,56.55777233,2.760867172,50.9348761,1.110223025e-15,5.753043408,0.09522638698,-1.735156783
0,1,14,3.966894668,1.437170826,2.900756572,1.398881011e-14,-1.372921374,0.4808564761,-0.739300835
0,1,15,76.88847743,4.771898104,74.38981914,7.549516567e-15,6.952592495,0.03559774673,-0.4714309836
0,1,16,17.88258175,3.118707997,24.19452432,-1.33226763e-15,-3.965049084,0.09985872362,1.994601054
0,2,0,48.39836748,4.179503837,61.52480469,-6.322883002,0,0.05108187816,2.96674551
0,2,1,55.14511743,4.496550389,72.92981611,6.884027287,-8.881784197e-16,0.04356187888,3.711930303
0,2,2,2368.99798,69.2911282,2259.780051,-38.319789,5.329070518e-15,0.0001015002062,-1.100341269
0,2,3,944.4750775,29.22039203,977.2764773,25.1998959,-1.998401444e-15,0.0006036237348,0.8058895624
0,2,4,66.29582577,4.022118421,64.38470434,6.46816927,-7.549516567e-15,0.04966954985,-0.4259252572
