label,element,x,y,z,sx_formal,sy_formal,sz_formal,Ueq,sUeq_formal,occupancy,multiplicity,treatment
Zr1,Zr,0.5448263669493935,0.0,0.10617676354994571,9.103940977044489e-05,0.0,0.0001963851974060218,0.07980081889140708,0.0018456186522206027,1,12,anisotropic restrained
Zr2,Zr,0.5361280745464808,0.07225614909296142,0.0,6.279657676314752e-05,0.00012559315352629505,0.0,0.06915275807451966,0.0020304084222976075,1,6,anisotropic restrained
O1,O,0.46288255860205707,0.0,0.24026070286188203,0.0005808036422639238,0.0,0.0010021602177710963,0.12240200820233209,0.0075753557932512336,1,12,anisotropic restrained
O2,O,0.518097757189597,0.036195514379193945,0.10713652917209684,0.00025973573423397807,0.0005194714684679561,0.0012478798463133,0.11878606620297731,0.00729567025405372,1,12,anisotropic restrained
O3,O,0.4736621134678786,0.036602679650049964,0.0,0.0005657389107572067,0.0005298937429555457,0.0,0.11982689173699433,0.007376688370890429,1,12,anisotropic restrained
O4,O,0.5187057559106208,0.10531119988002251,0.08114716010864015,0.00035606159837908176,0.00030619087337799457,0.000689985004133744,0.08583606973930989,0.004205263765813794,1,24,anisotropic restrained
O5,O,0.3987165581931229,0.0,0.08841002893998724,0.0004526792248133003,0.0,0.0015339116544184192,0.14624794784796627,0.008659829682257227,1,12,anisotropic restrained
O6,O,0.4660450948803353,0.05920977364463147,0.15067139165088872,0.0003578028218177238,0.0003414842720131551,0.000776173738975695,0.10299866492577166,0.004926001048200097,1,24,anisotropic restrained
C1,C,0.49543218330326955,0.24771609165163477,0.45733523091960204,0.0005127199956473398,0.00025635999782366983,0.0006033390753519529,0.12741124306897,0.011998262551512966,1,12,anisotropic restrained
C2,C,0.46268912612158597,0.14422264418551795,0.2904025143805104,0.0005404350573385973,0.0004778772509765259,0.0009884530168118098,0.14527843042209104,0.010082459784287538,1,24,anisotropic restrained
C3,C,0.5229380526987544,0.19336417052873736,0.22399725348933208,0.0005052718229031533,0.0004310551830252924,0.0010102258123098518,0.1250464391245346,0.008495199979604415,1,24,anisotropic restrained
C4,C,0.46176567301281485,0.11465265062731128,0.2412010063176332,0.0004965137900807263,0.00044052701521765794,0.0010152602922933376,0.12303913985145971,0.00844082817028207,1,24,anisotropic restrained
C5,C,0.4950880970342466,0.2169705704622501,0.3311470158045637,0.00039195096972915284,0.0003500326498695978,0.0008127462599579579,0.11867530516359602,0.00809800711754747,1,24,anisotropic restrained
C6,C,0.4936372318153155,0.1840331551867686,0.2822313795844593,0.0004997110227859916,0.0004170547888470778,0.0008451615379972934,0.12426047125773461,0.008806170248693212,1,24,anisotropic restrained
C7,C,0.4952733205194135,0.18478881461057287,0.45852610236482116,0.00041002175982800113,0.0004638910815498284,0.000576211987876448,0.14001137959047974,0.009227174965388024,1,24,anisotropic restrained
C8,C,0.522267233569213,0.1638102575725542,0.17621067651369318,0.00047675602512956824,0.00044051059158714404,0.000943181852019233,0.11082969536559813,0.007607652313939948,1,24,anisotropic restrained
C9,C,0.4952324256845289,0.21667180032381655,0.415118956824224,0.0004109019486987348,0.0003431651303908986,0.0007043703131185199,0.12399467542485247,0.008446212323749801,1,24,anisotropic restrained
C10,C,0.49185582507491205,0.12489759114586763,0.1850064768604882,0.0004515680875755605,0.0003971545324768384,0.0008665908283850737,0.09692335411201458,0.006556700219907189,1,24,anisotropic restrained
C11,C,0.49539529164676865,0.24769764582338433,0.29038048784596204,0.0005004901772031763,0.0002502450886015881,0.0011413523165684375,0.12165919706878413,0.01179350441677695,1,12,anisotropic restrained
C12,C,0.4919812224848709,0.09417479967516525,0.13412399941906464,0.0004158196712488909,0.00037302197273403397,0.0008095624408457221,0.09125895156055637,0.006599861627196238,1,24,anisotropic restrained
H2,H,0.44266204068946385,0.13762247346844872,0.32954019387588585,,,,0.17433411650650926,,1,24,riding
H3,H,0.5432856360482514,0.21993653111131542,0.21724543765148152,,,,0.15005572694944153,,1,24,riding
H4,H,0.44104921995293067,0.08812120637810661,0.24601828132027748,,,,0.14764696782175166,,1,24,riding
H7,H,0.495243673742534,0.16379972347829508,0.4298516406461405,,,,0.16801365550857572,,1,24,riding
H8,H,0.5424270279437698,0.17019692742297376,0.13750125011726413,,,,0.13299563443871776,,1,24,riding
H11,H,0.4957671662089865,0.24788358310449324,0.2331910744608626,,,,0.14599103648254094,,1,12,riding
